ObservationDate,Confirmed,Recovered,Deaths
2020-12-20,1797236,150376,48926
2020-12-21,1819249,150376,49260
2020-12-22,1829903,150376,49520
2020-12-23,1842289,150376,49698
2020-12-24,1854951,150376,49824
2020-12-25,1854951,150376,49824
2020-12-26,1854951,150376,49824
2020-12-27,1854951,150376,49824
2020-12-28,1879413,150376,50122
2020-12-29,1893502,150376,50442
2020-12-30,1910218,150376,50689
2020-12-31,1928265,150376,50837
2021-01-01,1928265,150376,50837
2021-01-02,1928265,150376,50837
2021-01-03,1928265,150376,50837
2021-01-04,1958844,150376,51078
2021-01-05,1982544,150376,51430
2021-01-06,1982544,150376,51430
2021-01-07,2024904,150376,51675
2021-01-08,2050360,150376,51874
2021-01-09,2050360,150376,51874
2021-01-10,2050360,150376,51874
2021-01-11,2111782,150376,52275
2021-01-12,2137220,150376,52683
2021-01-13,2176089,150376,52878
2021-01-14,2211967,150376,53079
2021-01-15,2252164,150376,53314
2021-01-16,2252164,150376,53314
2021-01-17,2252164,150376,53314
2021-01-18,2336451,150376,53769
2021-01-19,2370742,150376,54173
2021-01-20,2412318,150376,54637
2021-01-21,2456675,150376,55041
2021-01-22,2499560,150376,55441
2021-01-23,2499560,150376,55441
2021-01-24,2499560,150376,55441
2021-01-25,2593382,150376,56208
2021-01-26,2629817,150376,56794
2021-01-27,2670102,150376,57291
2021-01-28,2705001,150376,57806
2021-01-29,2743119,150376,58319
2021-01-30,2743119,150376,58319
2021-01-31,2743119,150376,58319
2021-02-01,2822805,150376,59081
2021-02-02,2851869,150376,59805
2021-02-03,2883465,150376,60370
2021-02-04,2913425,150376,60802
2021-02-05,2941990,150376,61386
2021-02-06,2941990,150376,61386
2021-02-07,2941990,150376,61386
2021-02-08,2989085,150376,62295
2021-02-09,3005487,150376,63061
2021-02-10,3023601,150376,63704
2021-02-11,3041454,150376,64217
2021-02-12,3056035,150376,64747
2021-02-13,3056035,150376,64747
2021-02-14,3056035,150376,64747
2021-02-15,3086286,150376,65449
2021-02-16,3096343,150376,65979
2021-02-17,3107172,150376,66316
2021-02-18,3121687,150376,66704
2021-02-19,3133122,150376,67101
2021-02-20,3133122,150376,67101
2021-02-21,3133122,150376,67101
2021-02-22,3153971,150376,67636
2021-02-23,3161432,150376,68079
2021-02-24,3170644,150376,68468
2021-02-25,3180212,150376,68813
2021-02-26,3188553,150376,69142
2021-02-27,3188553,150376,69142
